Order Date,Ship Date,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12-02-2024,16-02-2024,JO-15145,Joy Bell,Consumer,United States,Des Moines,Iowa,50315,Central,OFF-AR-10003056,Office Supplies,Art,Newell 315,2.54,3,0.2,0.41
15-02-2024,18-02-2024,CC-12370,Clay Cheatham,Consumer,United States,Houston,Texas,77095,Central,TEC-AC-10003027,Technology,Accessories,Plantronics Cordless Phone,275.05,5,0.6,34.38
18-02-2024,22-02-2024,BM-11650,Bart Miller,Consumer,United States,Omaha,Nebraska,68154,Central,OFF-BI-10001634,Office Supplies,Binders,Cardinal Slant-D Ring Binder Heavy Duty Locking Mechanism,11.84,2,0,4.96
01-03-2024,05-03-2024,DP-13000,Don Poster,Consumer,United States,Chicago,Illinois,60609,Central,TEC-MA-10004770,Technology,Machines,Xerox 1881,1706.18,9,0.2,85.31
03-03-2024,06-03-2024,TB-21400,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-PA-10001970,Office Supplies,Paper,Adams Phone Message Book w/Dividers/Space For Phone Numbers,22.72,4,0.2,7.39
08-03-2024,11-03-2024,GM-14470,Greg Mohler,Consumer,United States,New York City,New York,10024,East,TEC-CO-10004722,Technology,Copiers,Sharp Wireless Fax Digital,2832.96,8,0.6,-1419.12
10-03-2024,13-03-2024,JH-15985,Jim Hancock,Consumer,United States,Phoenix,Arizona,85008,West,OFF-BI-10000474,Office Supplies,Binders,Acco Translucent Poly Binding System Covers,5.99,1,0,2.44
15-03-2024,18-03-2024,CS-12355,Christine Sundt,Consumer,United States,Newark,Delaware,19711,East,OFF-AP-10000618,Office Supplies,Appliances,Belkin 325VA UPS Surge Protector 6 Foot Cord 4 Outlets,114.9,5,0.6,-43.64
02-04-2024,06-04-2024,SV-20365,Sean Villars,Consumer,United States,Tampa,Florida,33614,South,TEC-CO-10001047,Technology,Copiers,Canon PC1080F Personal Copier,1648.14,7,0.4,329.63
05-04-2024,08-04-2024,KH-16510,Karl Hille,Consumer,United States,Mesa,Arizona,85201,West,OFF-ST-10002743,Office Supplies,Storage,Eldon Image Series Desk Accessories Burgundy,21.05,5,0.8,-10.25
08-04-2024,11-04-2024,RH-19495,Rick Hansen,Consumer,United States,Richardson,Texas,75080,Central,OFF-AR-10000246,Office Supplies,Art,Staedtler Ergosoft Pencils,8.69,3,0.8,-4.82
12-04-2024,15-04-2024,LR-16930,Lena Radford,Consumer,United States,Spokane,Washington,99207,West,FUR-CH-10003950,Furniture,Chairs,Global Push Button Manager's Chair Dark Gray,213.48,3,0.6,-41.86
15-04-2024,18-04-2024,FS-14035,Frank Sale,Consumer,United States,Atlanta,Georgia,30309,South,OFF-PA-10004675,Office Supplies,Paper,Riverside Groundwood Computer Printout Paper,5.58,2,0,2.33
03-05-2024,07-05-2024,LC-17050,Luke Cianciolo,Consumer,United States,Miami,Florida,33180,South,TEC-PH-10004664,Technology,Phones,Samsung Galaxy Note,1813.49,7,0.2,271.59
06-05-2024,09-05-2024,MJ-17710,Mike Janzen,Consumer,United States,Aurora,Colorado,80014,West,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,4.28,6,0.6,-2.52
10-05-2024,13-05-2024,JM-15655,Julia Moran,Consumer,United States,Las Vegas,Nevada,89123,West,OFF-ST-10001713,Office Supplies,Storage,Bankers Box Stor/File Medium-Duty Storage Boxes,15.05,3,0.2,4.82
12-05-2024,15-05-2024,BF-11020,Bill Foreman,Consumer,United States,Portland,Oregon,97035,West,TEC-AC-10001998,Technology,Accessories,Logitech Wireless Gaming Headset G930,134.54,5,0.8,-67.27
18-05-2024,22-05-2024,AG-10600,Ann Steele,Consumer,United States,San Antonio,Texas,78204,Central,FUR-FU-10000747,Furniture,Furnishings,Howard Miller 13-3/4 Diameter Goldtone Round Wall Clock,114.32,4,0.6,-45.73
01-06-2024,04-06-2024,DK-13375,Doug Kostner,Consumer,United States,Denver,Colorado,80216,West,OFF-BI-10001460,Office Supplies,Binders,Wilson Jones Easy-to-Load 5-Tab Clear Label Tab Dividers,13.22,7,0.4,3.44
08-06-2024,11-06-2024,EB-13870,Ed Braxton,Corporate,United States,Jacksonville,Florida,32218,South,TEC-CO-10003033,Technology,Copiers,Xerox WorkCentre 3315DN,1911.84,6,0.2,95.59
12-06-2024,15-06-2024,PO-19915,Pauline O'Connell,Consumer,United States,Oklahoma City,Oklahoma,73120,Central,OFF-PA-10002267,Office Supplies,Paper,Hammermill CopyPlus Copy Paper 8.5 x 11,29.6,8,0.2,13.32
18-06-2024,21-06-2024,AB-10105,Alan Barnes,Consumer,United States,Minneapolis,Minnesota,55901,Central,TEC-MA-10000822,Technology,Machines,Canon imageCLASS 2200 Advanced Copier,2558.22,3,0,1279.11
05-07-2024,08-07-2024,JR-16210,Janet Restrepo,Consumer,United States,Chicago,Illinois,60647,Central,OFF-ST-10003479,Office Supplies,Storage,Tenex B1-RE File Holder,11.92,8,0.2,5.36
10-07-2024,13-07-2024,GZ-14470,Grant Zou,Consumer,United States,Baltimore,Maryland,21218,East,TEC-PH-10002275,Technology,Phones,iPhone 12 Pro,1599.99,2,0.1,479.997
15-07-2024,18-07-2024,SC-20095,Shirley Chao,Consumer,United States,Columbus,Ohio,43215,East,OFF-AR-10004042,Office Supplies,Art,Prismacolor Color Pencil Set,56.96,4,0.2,25.63
02-08-2024,05-08-2024,JG-15610,Justin Graham,Consumer,United States,Portland,Maine,4103,East,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.31
08-08-2024,11-08-2024,NK-18655,Neil Knudson,Consumer,United States,Virginia Beach,Virginia,23452,East,OFF-BI-10004738,Office Supplies,Binders,GBC Prepunched Paper for Binding Machines,15.84,3,0.2,7.52
12-08-2024,15-08-2024,BW-11575,Beth Williams,Consumer,United States,Lakewood,Colorado,80226,West,TEC-AC-10003027,Technology,Accessories,Plantronics Cordless Phone,275.05,5,0.6,34.38
01-09-2024,04-09-2024,JC-15340,Jim Carlisle,Consumer,United States,Phoenix,Arizona,85027,West,OFF-ST-10000604,Office Supplies,Storage,File Crate Lock and Roll,42.27,3,0.6,-31.7
06-09-2024,09-09-2024,KM-16720,Ken Mccall,Consumer,United States,Fremont,California,94539,West,TEC-CO-10004093,Technology,Copiers,Sharp MX-M350N,4499.79,7,0.2,224.99
12-09-2024,15-09-2024,JO-15145,Joy Bell,Consumer,United States,Des Moines,Iowa,50315,Central,OFF-PA-10002965,Office Supplies,Paper,Xerox 1881,33.37,7,0.2,15.67
05-10-2024,08-10-2024,LC-17050,Luke Cianciolo,Consumer,United States,Miami,Florida,33180,South,FUR-CH-10003968,Furniture,Chairs,Executive Leather Armchair Black,1199.97,1,0,239.99
12-10-2024,15-10-2024,TC-20980,Tony Chapman,Consumer,United States,Burlington,Vermont,5401,East,TEC-PH-10004664,Technology,Phones,Samsung Galaxy Note,1813.49,7,0.2,271.59
18-10-2024,21-10-2024,KL-16555,Karl Lykken,Consumer,United States,Concord,New Hampshire,3301,East,OFF-BI-10001634,Office Supplies,Binders,Cardinal Slant-D Ring Binder Heavy Duty Locking Mechanism,11.84,2,0,4.96
02-11-2024,05-11-2024,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-MA-10000822,Technology,Machines,Canon imageCLASS 2200 Advanced Copier,2558.22,3,0,1279.11
08-11-2024,11-11-2024,TB-21175,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-ST-10003479,Office Supplies,Storage,Tenex B1-RE File Holder,11.92,8,0.2,5.36
15-11-2024,18-11-2024,SW-20485,Steve Welle,Consumer,United States,Salt Lake City,Utah,84104,West,FUR-FU-10000747,Furniture,Furnishings,Howard Miller 13-3/4 Diameter Goldtone Round Wall Clock,114.32,4,0.6,-45.73
01-12-2024,04-12-2024,HP-14815,Harold Pawlan,Consumer,United States,Fort Worth,Texas,76106,Central,TEC-CO-10001047,Technology,Copiers,Canon PC1080F Personal Copier,1648.14,7,0.4,329.63
08-12-2024,11-12-2024,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,TEC-PH-10002275,Technology,Phones,iPhone 12 Pro,1599.99,2,0.1,479.997
15-12-2024,18-12-2024,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-PA-10004675,Office Supplies,Paper,Riverside Groundwood Computer Printout Paper,5.58,2,0,2.33
22-12-2024,24-12-2024,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.31

